<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1999.10.05	106.210	107.180	105.880	106.450	6055	0	50
1999.10.06	106.420	107.790	105.950	107.510	6061	0	50
1999.10.07	107.490	107.980	106.990	107.160	5563	0	50
1999.10.08	107.150	108.000	107.080	107.370	5240	0	50
1999.10.11	107.410	107.480	106.550	106.850	4284	0	50
1999.10.12	106.870	106.930	106.030	106.140	5114	0	50
1999.10.13	106.130	108.020	105.910	106.630	6257	0	50
1999.10.14	106.620	107.470	106.400	107.410	5824	0	50
1999.10.15	107.460	107.630	105.200	105.250	6329	0	50
1999.10.18	105.300	105.830	104.790	105.490	5888	0	50
1999.10.19	105.490	105.920	105.180	105.410	5406	0	50
1999.10.20	105.430	106.690	105.170	106.360	5991	0	50
1999.10.21	106.370	106.530	105.750	106.060	5716	0	50
1999.10.22	106.050	106.270	105.240	105.880	5571	0	50
1999.10.25	105.860	106.230	105.200	105.350	6337	0	50
1999.10.26	105.350	105.510	104.530	104.790	6266	0	50
1999.10.27	104.780	104.860	103.670	104.460	7114	0	50
1999.10.28	104.450	105.230	103.870	105.220	6030	0	50
1999.11.01	104.180	104.560	103.720	104.090	5884	0	50
1999.11.02	104.050	105.090	103.790	104.040	6596	0	50
1999.11.03	104.030	105.230	103.410	104.860	6954	0	50
1999.11.04	104.880	105.570	104.350	104.840	6495	0	50
1999.11.05	104.840	106.650	104.620	105.930	6325	0	50
1999.11.08	106.140	106.410	105.080	105.230	6497	0	50
1999.11.09	105.250	105.540	104.730	105.000	4848	0	50
1999.11.10	104.940	105.250	104.370	104.580	5559	0	50
1999.11.11	104.570	105.470	104.450	104.920	5240	0	50
1999.11.12	104.910	105.390	104.500	105.330	5230	0	50
1999.11.15	105.310	105.370	104.570	104.850	5254	0	50
1999.11.16	104.870	106.010	104.800	105.870	4803	0	50
1999.11.17	105.870	106.300	104.990	105.540	5422	0	50
1999.11.18	105.570	106.000	105.330	105.960	3975	0	50
1999.11.19	105.950	106.580	105.730	106.400	4799	0	50
1999.11.22	106.300	106.590	104.560	104.700	5635	0	50
1999.11.23	104.690	104.770	104.000	104.280	5325	0	50
1999.11.24	104.300	104.770	104.050	104.740	5703	0	50
1999.11.25	104.730	104.980	104.090	104.350	5284	0	50
1999.11.26	104.350	104.560	101.260	101.820	6317	0	50
1999.11.29	102.440	104.050	101.600	102.740	7616	0	50
1999.11.30	102.680	103.110	101.340	102.050	8440	0	50
1999.12.01	102.020	102.770	101.840	102.630	5738	0	50
1999.12.02	102.650	102.810	102.190	102.760	5324	0	50
1999.12.03	102.760	102.790	102.100	102.790	5282	0	50
1999.12.06	102.630	103.480	102.030	102.920	4585	0	50
1999.12.07	102.910	103.220	102.180	102.400	5279	0	50
1999.12.08	102.400	103.200	102.380	102.920	5193	0	50
1999.12.09	102.920	103.420	102.170	102.510	4770	0	50
1999.12.10	102.500	103.000	102.120	102.190	4769	0	50
1999.12.13	102.450	103.350	102.250	103.140	3425	0	50
1999.12.14	103.130	103.800	102.800	103.510	4537	0	50
1999.12.15	103.500	103.790	103.320	103.700	4227	0	50
1999.12.16	103.660	103.680	102.540	103.110	5206	0	50
1999.12.17	103.100	103.430	102.650	103.250	4562	0	50
1999.12.20	103.140	103.470	102.260	102.550	5406	0	50
1999.12.21	102.580	102.620	101.850	102.160	5664	0	50
1999.12.22	102.170	102.450	101.400	101.600	5533	0	50
1999.12.23	101.590	102.240	101.300	102.070	3448	0	50
1999.12.24	102.050	103.170	101.750	102.910	4557	0	50
1999.12.27	102.780	102.970	102.010	102.250	3798	0	50
1999.12.28	102.250	102.760	102.020	102.340	4651	0	50
1999.12.29	102.370	102.570	101.800	102.090	4174	0	50
1999.12.30	102.130	102.580	101.950	102.520	4033	0	50
1999.12.31	102.540	102.600	102.110	102.260	770	0	50
2000.01.03	102.140	102.260	101.390	101.680	3895	0	50
2000.01.04	101.710	103.340	101.500	103.150	6144	0	50
2000.01.05	103.160	104.470	102.800	104.120	5287	0	50
2000.01.06	104.120	105.580	103.980	105.260	6050	0	50
2000.01.07	105.260	105.920	104.870	105.410	4557	0	50
2000.01.10	105.110	105.390	104.330	105.170	5105	0	50
2000.01.11	105.160	106.330	105.090	106.050	6450	0	50
