<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.11.07	0.78290	0.79970	0.77140	0.79410	33851	0	80
2008.11.10	0.80680	0.81850	0.78420	0.79150	37258	0	80
2008.11.11	0.79140	0.79520	0.76640	0.77820	35068	0	80
2008.11.12	0.77870	0.78770	0.74760	0.75610	40689	0	80
2008.11.13	0.75590	0.79330	0.75510	0.78890	43397	0	80
2008.11.14	0.78930	0.79330	0.76960	0.77470	38394	0	80
2008.11.17	0.76830	0.78850	0.76390	0.77450	36120	0	80
2008.11.18	0.77430	0.78690	0.76870	0.78160	30333	0	80
2008.11.19	0.78180	0.79050	0.77040	0.77170	31094	0	80
2008.11.20	0.77190	0.77620	0.74180	0.74730	35816	0	80
