<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.07.21	3933.1	3941.9	3917.7	3934.1	475	0	0
2014.07.22	3950.8	3966.1	3949.1	3961.6	233	0	0
2014.07.23	3974.7	3990.6	3968.0	3986.2	338	0	0
2014.07.24	3994.2	3997.5	3975.7	3983.2	327	0	0
2014.07.25	3959.4	3970.4	3945.1	3965.2	449	0	0
2014.07.28	3966.3	3977.0	3936.7	3967.2	798	0	0
2014.07.29	3974.1	3983.4	3957.2	3959.0	374	0	0
2014.07.30	3982.1	3989.0	3960.3	3976.1	515	0	0
2014.07.31	3938.3	3948.9	3889.1	3892.5	739	0	0
2014.08.01	3886.1	3908.2	3855.4	3879.7	993	0	0
2014.08.04	3890.6	3922.3	3875.1	3908.8	763	0	0
2014.08.05	3891.1	3901.2	3858.7	3874.9	689	0	0
2014.08.06	3851.4	3896.7	3849.5	3874.3	716	0	0
2014.08.07	3889.7	3895.7	3845.2	3857.9	693	0	0
2014.08.08	3864.1	3890.6	3848.5	3888.1	603	0	0
2014.08.11	3900.0	3921.2	3899.4	3910.5	332	0	0
2014.08.12	3904.5	3916.7	3887.6	3905.2	576	0	0
2014.08.13	3924.5	3949.7	3921.4	3949.2	320	0	0
2014.08.14	3953.3	3969.2	3949.1	3969.1	245	0	0
2014.08.15	3993.0	3997.1	3951.3	3987.5	862	0	0
2014.08.18	4007.2	4022.5	4003.5	4020.5	248	0	0
2014.08.19	4025.5	4041.5	4024.2	4040.1	201	0	0
2014.08.20	4032.9	4047.0	4032.2	4040.7	219	0	0
2014.08.21	4041.0	4049.0	4035.8	4047.0	205	0	0
2014.08.22	4052.1	4060.9	4040.2	4052.8	408	0	0
2014.08.25	4073.5	4079.5	4058.6	4067.5	359	0	0
2014.08.26	4073.1	4076.5	4062.7	4071.7	263	0	0
2014.08.27	4073.4	4078.2	4064.1	4073.2	281	0	0
2014.08.28	4059.4	4072.3	4054.6	4066.3	286	0	0
2014.08.29	4081.0	4083.0	4062.2	4082.6	401	0	0
2014.09.02	4093.1	4095.9	4078.2	4095.8	328	0	0
2014.09.03	4104.0	4104.4	4063.5	4071.0	489	0	0
2014.09.04	4078.8	4100.8	4056.5	4066.1	760	0	0
2014.09.05	4067.4	4090.0	4051.8	4089.9	540	0	0
2014.09.08	4086.5	4105.5	4076.6	4095.5	489	0	0
2014.09.09	4094.0	4110.9	4053.1	4061.9	836	0	0
2014.09.10	4063.9	4095.9	4054.6	4095.0	516	0	0
2014.09.11	4077.7	4092.8	4060.9	4092.7	489	0	0
2014.09.12	4087.2	4089.6	4057.5	4069.2	463	0	0
2014.09.15	4070.2	4070.8	4018.3	4029.9	648	0	0
2014.09.16	4012.5	4073.1	4010.0	4067.3	715	0	0
2014.09.17	4066.8	4091.0	4048.6	4073.6	781	0	0
