<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.04.13	20625	20632	20479	20493	8896	0	0
2017.04.14	20493	20537	20456	20458	1276	0	0
2017.04.17	20455	20592	20435	20581	4725	0	0
2017.04.18	20581	20646	20455	20509	7595	0	0
2017.04.19	20508	20546	20426	20453	7110	0	0
2017.04.20	20454	20627	20368	20619	7548	0	0
2017.04.21	20618	20622	20502	20569	6605	0	0
2017.04.24	20745	20785	20688	20773	6730	0	0
2017.04.25	20773	21024	20746	21012	6330	0	0
2017.04.26	21011	21068	20987	21026	6643	0	0
2017.04.27	21026	21040	20931	20982	6748	0	0
2017.04.28	20981	20993	20923	20938	5872	0	0
2017.05.01	20925	20985	20891	20956	4038	0	0
2017.05.02	20957	20972	20900	20935	5276	0	0
2017.05.03	20934	20945	20870	20926	4480	0	0
2017.05.04	20927	21009	20843	20929	5963	0	0
2017.05.05	20928	20961	20879	20960	6141	0	0
2017.05.08	21021	21022	20959	21008	5549	0	0
2017.05.09	21007	21048	20973	20986	5233	0	0
2017.05.10	20987	21001	20894	20940	5977	0	0
2017.05.11	20940	20942	20795	20907	6102	0	0
2017.05.12	20907	20930	20861	20886	5820	0	0
2017.05.15	20893	20998	20881	20989	4204	0	0
2017.05.16	20988	21031	20931	20967	5545	0	0
2017.05.17	20968	20983	20679	20689	9102	0	0
2017.05.18	20689	20708	20493	20650	11742	0	0
2017.05.19	20651	20841	20639	20830	7892	0	0
2017.05.22	20816	20912	20784	20888	5905	0	0
2017.05.23	20888	20952	20855	20938	6636	0	0
2017.05.24	20939	20980	20911	20974	5473	0	0
2017.05.25	20975	21110	20957	21086	6841	0	0
2017.05.26	21086	21102	21034	21078	5910	0	0
2017.05.29	21092	21108	21082	21093	2673	0	0
2017.05.30	21077	21079	21002	21033	4959	0	0
2017.05.31	21032	21064	20936	20984	5897	0	0
2017.06.01	20983	21131	20960	21120	6345	0	0
2017.06.02	21119	21226	21098	21213	6772	0	0
2017.06.05	21194	21220	21165	21193	4391	0	0
2017.06.06	21193	21200	21114	21142	5730	0	0
2017.06.07	21141	21183	21108	21159	5721	0	0
2017.06.08	21159	21266	21151	21207	6182	0	0
2017.06.09	21207	21301	21135	21226	7809	0	0
2017.06.12	21238	21271	21185	21190	6735	0	0
2017.06.13	21190	21327	21187	21317	6047	0	0
2017.06.14	21316	21375	21298	21339	6226	0	0
2017.06.15	21340	21389	21256	21338	9517	0	0
2017.06.16	21339	21406	21305	21358	6241	0	0
2017.06.19	21396	21519	21391	21502	4927	0	0
2017.06.20	21503	21539	21488	21509	5041	0	0
2017.06.21	21509	21517	21389	21401	6767	0	0
2017.06.22	21401	21454	21389	21438	6080	0	0
2017.06.23	21438	21446	21329	21404	5157	0	0
2017.06.26	21364	21502	21364	21437	4760	0	0
2017.06.27	21438	21449	21326	21363	6585	0	0
2017.06.28	21363	21479	21306	21467	7500	0	0
2017.06.29	21466	21504	21195	21254	8019	0	0
2017.06.30	21254	21401	21236	21365	8524	0	0
2017.07.03	21385	21562	21380	21473	5738	0	0
2017.07.04	21493	21525	21457	21493	5031	0	0
2017.07.05	21474	21511	21402	21471	6587	0	0
2017.07.06	21470	21494	21339	21381	7854	0	0
2017.07.07	21382	21425	21306	21420	7167	0	0
2017.07.10	21417	21448	21363	21439	4791	0	0
2017.07.11	21440	21441	21277	21425	5649	0	0
2017.07.12	21425	21581	21408	21543	6048	0	0
2017.07.13	21542	21568	21509	21557	5384	0	0
2017.07.14	21556	21642	21522	21627	4999	0	0
2017.07.17	21654	21675	21614	21643	4234	0	0
2017.07.18	21643	21657	21466	21554	6191	0	0
2017.07.19	21554	21620	21550	21616	5021	0	0
2017.07.20	21615	21672	21574	21625	5117	0	0
2017.07.21	21625	21643	21500	21570	5163	0	0
2017.07.24	21571	21578	21492	21529	4201	0	0
2017.07.25	21529	21686	21524	21639	4643	0	0
2017.07.26	21639	21736	21595	21688	4910	0	0
2017.07.27	21688	21786	21681	21719	6465	0	0
2017.07.28	21720	21809	21708	21804	6512	0	0
2017.07.31	21823	21927	21804	21923	3986	0	0
2017.08.01	21924	22018	21894	21971	5399	0	0
2017.08.02	21970	22033	21954	21998	4758	0	0
2017.08.03	21999	22039	21980	22028	4834	0	0
2017.08.04	22030	22101	22000	22071	5439	0	0
2017.08.07	22080	22135	22075	22110	3822	0	0
2017.08.08	22110	22181	22078	22135	4278	0	0
2017.08.09	22135	22136	22000	22020	7370	0	0
2017.08.10	22020	22054	21872	21910	7737	0	0
2017.08.11	21911	21967	21814	21888	8602	0	0
2017.08.14	21897	22017	21895	22003	5249	0	0
2017.08.15	22004	22060	21969	21978	6330	0	0
2017.08.16	21978	22084	21977	22027	5625	0	0
2017.08.17	22028	22053	21833	21851	8189	0	0
2017.08.18	21851	21855	21640	21721	9577	0	0
2017.08.21	21726	21736	21598	21673	6757	0	0
2017.08.22	21672	21870	21662	21863	6459	0	0
2017.08.23	21862	21911	21797	21824	6840	0	0
2017.08.24	21824	21880	21763	21814	6977	0	0
2017.08.25	21814	21904	21769	21845	7167	0	0
2017.08.28	21804	21872	21761	21799	5771	0	0
